Price,Location,PC1,PC2,PC3
6968000,Nizampet,-0.3461866654174435,-0.8360247368207341,-0.5411469368604526
29000000,Hitech City,-0.11327733033563059,3.0999481711497316,-1.3238135505314363
6590000,Manikonda,-1.4720584113049986,-1.0376871627369213,-0.30690411483454955
5739000,Alwal,-1.6342061107100851,0.4053233421933184,1.8455545774610274
5679000,Kukatpally,-1.3660289451766916,-1.1948656952783707,-0.24127616993751416
6099000,Nizampet,-1.6710623521727646,-1.1734319711820287,-0.1909602112028581
7000000,Manikonda,-1.7743545360778086,-1.0687031668513762,-0.19426598733081452
4198000,Gachibowli,-0.9523136505067263,0.03111307047910054,-0.6396002639556702
9900000,Tellapur,-1.0484873382664752,0.8414157028025395,-0.7630701663185189
9800000,Gachibowli,-1.6359584934438063,-0.37365359357790423,2.0414204705040073
8903000,Kokapet,-0.1359690542966975,0.3264999230575522,-0.800630954598746
6300000,Hyder Nagar,-1.6718281172832479,-1.246733931580199,-0.17899229006464226
6300000,Mehdipatnam,-1.6705358886593074,-1.1230368734082865,-0.1991881569853815
9000000,Tellapur,0.10456080671978742,1.1434627722245119,1.4156639948795762
11100000,Narsingi,0.07002005404784056,0.44089796674477777,-0.8015873778068986
11500000,Khajaguda Nanakramguda Road,-1.0150504399899056,0.67346573138739,1.858159188545703
10900000,Kukatpally,-1.359438259082461,0.21535726007067843,-0.6150832088592901
8625000,Madhapur,-1.6718281172832479,-1.246733931580199,-0.17899229006464226
9900000,Tellapur,-0.8418663885432044,0.8443537301224379,-0.7885030463963023
3900000,Puppalaguda,-1.8786219618396864,-0.36464455605554535,-0.3726170436294389
6968000,Nizampet,-0.3461866654174435,-0.8360247368207341,-0.5411469368604526
29000000,Hitech City,-0.11327733033563059,3.0999481711497316,-1.3238135505314363
6590000,Manikonda,-1.4720584113049986,-1.0376871627369213,-0.30690411483454955
5739000,Alwal,-1.6342061107100851,0.4053233421933184,1.8455545774610274
5679000,Kukatpally,-1.3660289451766916,-1.1948656952783707,-0.24127616993751416
6099000,Nizampet,-1.6710623521727646,-1.1734319711820287,-0.1909602112028581
7000000,Manikonda,-1.7743545360778086,-1.0687031668513762,-0.19426598733081452
4198000,Gachibowli,-0.9523136505067263,0.03111307047910054,-0.6396002639556702
9900000,Tellapur,-1.0484873382664752,0.8414157028025395,-0.7630701663185189
9800000,Gachibowli,-1.6359584934438063,-0.37365359357790423,2.0414204705040073
8903000,Kokapet,-0.1359690542966975,0.3264999230575522,-0.800630954598746
6300000,Hyder Nagar,-1.6718281172832479,-1.246733931580199,-0.17899229006464226
6300000,Mehdipatnam,-1.6705358886593074,-1.1230368734082865,-0.1991881569853815
9000000,Tellapur,0.10456080671978742,1.1434627722245119,1.4156639948795762
11100000,Narsingi,0.07002005404784056,0.44089796674477777,-0.8015873778068986
11500000,Khajaguda Nanakramguda Road,-1.0150504399899056,0.67346573138739,1.858159188545703
10900000,Kukatpally,-1.359438259082461,0.21535726007067843,-0.6150832088592901
8625000,Madhapur,-1.6718281172832479,-1.246733931580199,-0.17899229006464226
9900000,Tellapur,-0.8418663885432044,0.8443537301224379,-0.7885030463963023
3900000,Puppalaguda,-1.8786219618396864,-0.36464455605554535,-0.3726170436294389
7800000,Puppalaguda,-1.4579139032050765,0.267055642219953,-0.5058705962598592
19600000,Narsingi,-1.3457452191693122,1.3062982297867654,-0.7743242031618607
6050000,Begumpet,-1.6404573634678956,-0.804302610917154,2.1117320071910255
6150000,Kukatpally,-1.1610077887629981,-1.087900042340505,-0.3795323671656411
5000000,Nizampet,-1.8813315509615118,-1.2352489423244803,-0.16179124916369003
4760000,Nizampet,-1.881187970003296,-1.2215048247498232,-0.16403523437710546
30000000,Banjara Hills,-1.8241435507720103,2.9009721209826944,1.3884859598412551
2500000,AS Rao Nagar,-1.8537417623791708,-1.1547460511274008,2.1880246587119188
5900000,Pragathi Nagar Kukatpally,-1.567777654981627,-1.0389946863441906,-0.24360531264653748
9700000,Miyapur,-0.09238108354218844,0.959857061514708,1.770765683878581
4641000,Mallampet,-1.3657011692541274,-1.2352673312182383,-0.29265570352920195
16000000,Nanakramguda,-1.837152680629836,1.0444563673583702,1.7602802936160067
4641000,Mallampet,-1.5700568151582064,-1.2716286305027096,-0.2141168117645589
7500000,Attapur,-1.8752143070980358,-0.0384508322836877,-0.42587429269449933
6140000,Alwal,-1.0530617507693882,0.13948852946020135,-0.6265989012823308
10500000,Nanakramguda,-0.34070864636504183,0.24849843855902046,-0.7455263303260709
7200000,West Marredpally,-1.8439009856659698,0.3984828413494946,1.8657475986465337
4600000,Nizampet,-1.0599759046606798,-1.118647987272027,-0.3941823661393161
10400000,Hitech City,-1.7380243445130448,0.5411481533626673,1.8286616409330116
9500000,Banjara Hills,-1.7380243445130448,0.5411481533626673,1.8286616409330116
9942000,Narsingi,-0.9479187930323623,0.5490505071459415,-0.7044836570502394
9250000,Manikonda,-1.6612215754595636,0.3797969212948666,-0.5132372712682418
4500000,Puppalaguda,-1.6664862105941363,-0.12415405644255374,-0.430957813443008
9600000,Kompally,-0.8170585512548669,0.8877129809678244,1.628884736317149
8600000,Sri Nagar Colony,-1.8444561653710703,0.3453389200608211,1.87442434147174
2700000,Hakimpet,-1.8521145115193938,-0.9989793852812893,2.16259282629321
6600000,Pocharam,0.5177890870244497,0.9888801055878962,1.6993459140215352
8589000,Nagole,-1.1543447963998734,0.28318425447881007,-0.5811919234960248
5500000,LB Nagar,-1.8499512250822785,-0.7919013471564581,2.1287834490777504
